Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
TP,Crops and livestock products,5105,Western Africa,5622,Import Value,10,Total Merchandise Trade,1990,1990,1000 US$,14438721,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5922,Export Value,10,Total Merchandise Trade,1990,1990,1000 US$,21564588,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5922,Export Value,10,Total Merchandise Trade,1991,1991,1000 US$,20412248,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5622,Import Value,10,Total Merchandise Trade,1991,1991,1000 US$,15674440,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5622,Import Value,10,Total Merchandise Trade,1992,1992,1000 US$,18761655,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5922,Export Value,10,Total Merchandise Trade,1992,1992,1000 US$,20143723,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5922,Export Value,10,Total Merchandise Trade,1993,1993,1000 US$,17205306,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5622,Import Value,10,Total Merchandise Trade,1993,1993,1000 US$,17607668,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5622,Import Value,10,Total Merchandise Trade,1994,1994,1000 US$,15549489,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5922,Export Value,10,Total Merchandise Trade,1994,1994,1000 US$,17467536,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5922,Export Value,10,Total Merchandise Trade,1995,1995,1000 US$,21380630,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5622,Import Value,10,Total Merchandise Trade,1995,1995,1000 US$,19181629,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5622,Import Value,10,Total Merchandise Trade,1996,1996,1000 US$,19005735,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5922,Export Value,10,Total Merchandise Trade,1996,1996,1000 US$,26557786,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5922,Export Value,10,Total Merchandise Trade,1997,1997,1000 US$,25442755,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5622,Import Value,10,Total Merchandise Trade,1997,1997,1000 US$,22176298,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5622,Import Value,10,Total Merchandise Trade,1998,1998,1000 US$,22602431,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5922,Export Value,10,Total Merchandise Trade,1998,1998,1000 US$,20461426,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5922,Export Value,10,Total Merchandise Trade,1999,1999,1000 US$,24701124,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5622,Import Value,10,Total Merchandise Trade,1999,1999,1000 US$,23011372,A,"Aggregate, may include official, semi-official, estimated or calculated data"
