Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
TI,Trade Indices,7,Angola,64,Import Value Base Period Quantity,1882,"Agricult.Products, Total",2017,2017,1000 $,1507465,Fc,Calculated data
TI,Trade Indices,7,Angola,65,Import Value Base Period Price,1882,"Agricult.Products, Total",2017,2017,1000 $,1889528,Fc,Calculated data
TI,Trade Indices,7,Angola,94,Export Value Base Quantity,1882,"Agricult.Products, Total",2017,2017,1000 $,3645,Fc,Calculated data
TI,Trade Indices,7,Angola,95,Export Value Base Price,1882,"Agricult.Products, Total",2017,2017,1000 $,17021,Fc,Calculated data
TI,Trade Indices,53,Benin,64,Import Value Base Period Quantity,1882,"Agricult.Products, Total",2017,2017,1000 $,462905,Fc,Calculated data
TI,Trade Indices,53,Benin,65,Import Value Base Period Price,1882,"Agricult.Products, Total",2017,2017,1000 $,1261639,Fc,Calculated data
TI,Trade Indices,53,Benin,94,Export Value Base Quantity,1882,"Agricult.Products, Total",2017,2017,1000 $,410140,Fc,Calculated data
TI,Trade Indices,53,Benin,95,Export Value Base Price,1882,"Agricult.Products, Total",2017,2017,1000 $,375145,Fc,Calculated data
TI,Trade Indices,20,Botswana,64,Import Value Base Period Quantity,1882,"Agricult.Products, Total",2017,2017,1000 $,243735,Fc,Calculated data
TI,Trade Indices,20,Botswana,65,Import Value Base Period Price,1882,"Agricult.Products, Total",2017,2017,1000 $,560804,Fc,Calculated data
TI,Trade Indices,20,Botswana,94,Export Value Base Quantity,1882,"Agricult.Products, Total",2017,2017,1000 $,35713,Fc,Calculated data
TI,Trade Indices,20,Botswana,95,Export Value Base Price,1882,"Agricult.Products, Total",2017,2017,1000 $,137981,Fc,Calculated data
TI,Trade Indices,233,Burkina Faso,64,Import Value Base Period Quantity,1882,"Agricult.Products, Total",2017,2017,1000 $,157438,Fc,Calculated data
TI,Trade Indices,233,Burkina Faso,65,Import Value Base Period Price,1882,"Agricult.Products, Total",2017,2017,1000 $,493138,Fc,Calculated data
